,encoding-dim,num-epochs,batch-size,lr,Accuracy
0,10,10,16,0.001,0.6670408163265306
1,10,20,16,0.001,0.6706122448979592
2,10,30,16,0.001,0.6714285714285714
3,10,10,16,0.0001,0.6719387755102041
4,10,20,16,0.0001,0.6711224489795918
5,10,30,16,0.0001,0.6678571428571428
6,10,10,16,1e-05,0.6671428571428571
7,10,20,16,1e-05,0.6707142857142857
8,10,30,16,1e-05,0.6713265306122449
9,10,10,32,0.001,0.6685714285714286
10,10,20,32,0.001,0.6703061224489796
11,10,30,32,0.001,0.6722448979591836
12,10,10,32,0.0001,0.671530612244898
13,10,20,32,0.0001,0.6724489795918367
14,10,30,32,0.0001,0.6759183673469388
15,10,10,32,1e-05,0.6587755102040816
16,10,20,32,1e-05,0.666530612244898
17,10,30,32,1e-05,0.6701020408163265
18,10,10,64,0.001,0.6723469387755102
19,10,20,64,0.001,0.6704081632653062
20,10,30,64,0.001,0.6660204081632654
21,10,10,64,0.0001,0.6712244897959184
22,10,20,64,0.0001,0.6723469387755102
23,10,30,64,0.0001,0.6719387755102041
24,10,10,64,1e-05,0.646734693877551
25,10,20,64,1e-05,0.6463265306122449
26,10,30,64,1e-05,0.6523469387755102
27,10,10,128,0.001,0.6679591836734694
28,10,20,128,0.001,0.6694897959183673
29,10,30,128,0.001,0.67
30,10,10,128,0.0001,0.6578571428571428
31,10,20,128,0.0001,0.6729591836734694
32,10,30,128,0.0001,0.6739795918367347
33,10,10,128,1e-05,0.5589795918367347
34,10,20,128,1e-05,0.6405102040816326
35,10,30,128,1e-05,0.6566326530612245
36,11,10,16,0.001,0.6702040816326531
37,11,20,16,0.001,0.6689795918367347
38,11,30,16,0.001,0.6543877551020408
39,11,10,16,0.0001,0.6683673469387755
40,11,20,16,0.0001,0.6673469387755102
41,11,30,16,0.0001,0.6663265306122449
42,11,10,16,1e-05,0.6690816326530612
43,11,20,16,1e-05,0.6723469387755102
44,11,30,16,1e-05,0.6724489795918367
45,11,10,32,0.001,0.6658163265306123
46,11,20,32,0.001,0.6685714285714286
47,11,30,32,0.001,0.6709183673469388
48,11,10,32,0.0001,0.6721428571428572
49,11,20,32,0.0001,0.6696938775510204
50,11,30,32,0.0001,0.6702040816326531
51,11,10,32,1e-05,0.6485714285714286
52,11,20,32,1e-05,0.6678571428571428
53,11,30,32,1e-05,0.6704081632653062
54,11,10,64,0.001,0.6693877551020408
55,11,20,64,0.001,0.6719387755102041
56,11,30,64,0.001,0.7494897959183674
57,11,10,64,0.0001,0.6727551020408163
58,11,20,64,0.0001,0.6739795918367347
59,11,30,64,0.0001,0.673469387755102
60,11,10,64,1e-05,0.6537755102040816
61,11,20,64,1e-05,0.6590816326530612
62,11,30,64,1e-05,0.6666326530612245
63,11,10,128,0.001,0.6701020408163265
64,11,20,128,0.001,0.6720408163265306
65,11,30,128,0.001,0.6737755102040817
66,11,10,128,0.0001,0.6698979591836735
67,11,20,128,0.0001,0.673265306122449
68,11,30,128,0.0001,0.6737755102040817
69,11,10,128,1e-05,0.6602040816326531
